Id	Lemma / verb	ف ع ل root  ماده 	و ز ن	Pattern  Name (for sorting similar patterns)	Pattern / Weight / Measure	Buckwalter (lemmas) , basic translation (verbal data) (click to: 1. study this entry further 2. study roots also + remaining patterns from same root 3. Post correction messages on corpus messageboard)	frequency	Part-of-speech (for lemmas)	ل	ل	ل	ع	ف	
226	أَيْكَة	ا ي ك	فَعْلَة	N21.1t	fa'l at	>ayokap	4	Noun			ك	ي	ا	
227	أَيَٰمَىٰ	ا ي م	 (فَعِيل) فَعَالَىٰ	N13.1z.pl	fa'aalaa pl of fa'eel 	>aya`maY`	1	Noun			م	ي	ا	
228	ءَايَة	ا ي ي	فَعْلَة	N21.1t	fa'l at	'aAyap	382	Noun			ي	ي	ا	
229	الْآنَ	الْآنَ	الْآنَ	Miscellaneous	al aan	_#a`n	8	Time adverb						
230	إِذ	إِذ	إِذ	Miscellaneous	iz	<i*	239	Time adverb						
231	إِذًا	إِذًا	إِذًا	Miscellaneous	izan	<i*FA	31	Surprise particle (18), Answer particle (13)						
232	إِذَا	إِذَا	إِذَا	Miscellaneous	izaa	<i*aA	409	Time adverb (405), Surprise particle (3), Conditional particle (1)						
233	إِذَا	إِذَا	إِذَا	Miscellaneous	izaa	<i*aA2	14	Surprise particle						
234	بَابِل	بَابِل	بَابِل	proper name	Baabil	baAbil	1	Proper noun						
235	بَل	بَل	بَل	Miscellaneous	bal	bal	127	Retraction particle (122), Inceptive particle (4), Coordinating conjunction (1)						
236	بَلَىٰ	بَلَىٰ	بَلَىٰ	Miscellaneous	balaa	balaY`	22	Answer particle						
237	بِئْر	ب ا ر	فِعْل	N23.1	fi'l	bi}or	1	Noun			ر	ا	ب	
238	بَأْسَآء	ب ا س	فَعْلَآء	N04.1	fa'laaa.	ba>osaA^'	4	Noun			س	ا	ب	
239	بَـِٔيس	ب ا س	فَعِيل	N13.1	fa'eel	ba_#iys	1	Adjective			س	ا	ب	
240	بَأْس	ب ا س	فَعْل	N21.1	fa'l	ba>os	25	Noun			س	ا	ب	
241	بَآئِس	ب ا س	فَاعِل	vb.I.ptrn.ap.N	faa'il	baA^}is	1	Noun			س	ا	ب	
242	بِئْسَ	ب ا س	فِعْلَ	vb.blame	fi'la (verb of blame from the category of verbs of praise and blame)	to be wretched, to be evil	40				س	ا	ب	
243	تَبْتَئِسْ	ب ا س		VIII		to grieve	2				س	ا	ب	
244	أَبْتَر	ب ت ر	أَفْعَل	N06.1	af'al	>abotar	1	Noun			ر	ت	ب	
245	يُبَتِّكُ	ب ت ك		II		to cut off	1				ك	ت	ب	
246	تَبْتِيل	ب ت ل	تَفْعِيل	vb.II.vn	taf'eel	tabotiyl	1	Noun			ل	ت	ب	
247	تَبَتَّلْ	ب ت ل		V		to devote	1				ل	ت	ب	
248	بَثّ	ب ث ث	فَلّ	N21.2	fall	bav~	1	Noun			ث	ث	ب	
249	مَبْثُوث	ب ث ث	مَفْعُول	vb.I.pp	maf'ool	mabovuwv	1	Adjective			ث	ث	ب	
250	مَبْثُوثَة	ب ث ث	مَفْعُولَة	vb.I.pp t	maf'ool at	mabovuwvap	1	Adjective			ث	ث	ب	
251	مُّنبَثّ	ب ث ث	مُنفَعَل	vb.VII.pp	munfa'al	m~unbav~	1	Adjective			ث	ث	ب	
252	بَثَّ	ب ث ث		I		to disperse	5				ث	ث	ب	
253	ٱنۢبَجَسَتْ	ب ج س		VII		to gush, to flow	1				س	ج	ب	
254	يَبْحَثُ	ب ح ث		I		to search, to scratch	1				ث	ح	ب	
255	بَحِيرَة	ب ح ر	فَعِيلَة	N13.1t.f	fa'eel at	baHiyrap	1	Noun			ر	ح	ب	
256	بَحْر	ب ح ر	فَعْل	N21.1	fa'l	baHor	41	Noun			ر	ح	ب	
257	بَخْس	ب خ س	فَعْل	N21.1	fa'l	baxos	2	Adjective (1), Noun (1)			س	خ	ب	
258	يَبْخَسْ	ب خ س		I		to diminish, to deprive	5				س	خ	ب	
259	بَٰخِع	ب خ ع	فَاعِل	vb.I.ap	faa'il	ba`xiE	2	Noun			ع	خ	ب	
260	بُخْل	ب خ ل	فُعْل	N22.1	fu'l	buxol	2	Noun			ل	خ	ب	
261	بَخِلَ	ب خ ل		I		to be stingy, to withhold	10				ل	خ	ب	
262	بَدَأَ	ب د ا		I		to begin, to originate	12				ا	د	ب	
263	يُبْدِئُ	ب د ا		IV		to originate	3				ا	د	ب	
264	بِدَار	ب د ر	فِعَال	N11.3 vb.III.vn	fi'aal	bidaAr	1	Noun			ر	د	ب	
265	بَدْر	ب د ر	فَعْل	N21.1 proper name	fa'l	bador	1	Proper noun			ر	د	ب	
266	بَدِيع	ب د ع	فَعِيل	N13.1	fa'eel	badiyE	2	Noun			ع	د	ب	
267	بِدْع	ب د ع	فِعْل	N23.1	fi'l	bidoE	1	Noun			ع	د	ب	
268	ٱبْتَدَعُ	ب د ع		VIII		to innovate	1				ع	د	ب	
269	بَدَل	ب د ل	فَعَل	N21.4	fa'al	badal	1	Adjective			ل	د	ب	
270	مُبَدِّل	ب د ل	مُفَعِّل	vb.II.ap	mufa''il	mubad~il	3	Noun			ل	د	ب	
271	تَبْدِيل	ب د ل	تَفْعِيل	vb.II.vn	taf'eel	tabodiyl	7	Noun			ل	د	ب	
272	ٱسْتِبْدَال	ب د ل	إِسْتِفْعَال	vb.X.vn	istif'aal	{sotibodaAl	1	Noun			ل	د	ب	
273	بَدَّلَ	ب د ل		II		to change	23				ل	د	ب	
274	يُبْدِلَ	ب د ل		IV		to substitute	3				ل	د	ب	
275	يَتَبَدَّلِ	ب د ل		V		to exchange	3				ل	د	ب	
276	يَسْتَبْدِلْ	ب د ل		X		to replace	3				ل	د	ب	
277	بَدَن	ب د ن	فَعَل	N21.4	fa'al	badan	1	Noun			ن	د	ب	
278	بُدْن	ب د ن	(فَعَلَة) فُعْل	N21.4z.pl t.s	fu'l pl of fa'al at	budon	1	Noun			ن	د	ب	
279	بَدْو	ب د و	فَعْل	N21.1	fa'l	badow	1	Noun			و	د	ب	
280	بَاد	ب د و	فَاعِل	vb.I.ap	faa'il	baAd	1	Noun			و	د	ب	
281	بَادُون	ب د و	(فَاعِل) فَاعِلُون	vb.I.ap	faa'il oon.pl	baAduwn	1	Noun			و	د	ب	
282	بَادِى	ب د و	فَاعِل	vb.I.ap	faa'il	baAdiY	1	Noun			و	د	ب	
283	مُبْدِي	ب د و	مُفْعِل	vb.IV.ap	muf'il	mubodiy	1	Noun			و	د	ب	
284	بَدَا	ب د و		I		to become apparent	11				و	د	ب	
285	يُبْدِىَ	ب د و		IV		to reveal, to disclose	15				و	د	ب	
286	مُبَذِّرِين	ب ذ ر	(مُفَعِّل) مُفَعِّلِين	vb.II.ap	mufa''il een.pl	muba*~iriyn	1	Noun			ر	ذ	ب	
287	تَبْذِير	ب ذ ر	تَفْعِيل	vb.II.vn	taf'eel	tabo*iyr	1	Noun			ر	ذ	ب	
288	تُبَذِّرْ	ب ذ ر		II		to squander, to waste	1				ر	ذ	ب	
289	بَرَآء	ب ر ا	فَعَال	N11.1	fa'aal	baraA^'	1	Noun			ا	ر	ب	
290	بَرَآءَة	ب ر ا	فَعَالَة	N11.1t	fa'aal at (read baraaa.at Instead of baraa.at. Due to madda addition due to hamza. Similar is the case for remaining similar madda hamza  endings in this pattern)	baraA^'ap	2	Noun			ا	ر	ب	
291	بَرِىٓء	ب ر ا	فَعِيل	N13.1	fa'eel	bariY^'	12	Noun (11), Adjective (1)			ا	ر	ب	
292	بَرِيَّة	ب ر ا	فَعِيلَة	N13.1t	fa'eel at	bariy~ap	2	Noun			ا	ر	ب	
293	بَارِئ	ب ر ا	فَاعِل	vb.I.ap	faa'il	baAri}	3	Noun (2), Adjective (1)			ا	ر	ب	
294	مُبَرَّءُون	ب ر ا	(مُفَعَّل) مُفَعَّلُون	vb.II.pp	mufa''al oon.pl	mubar~a'uwn	1	Noun			ا	ر	ب	
295	نَّبْرَأَ	ب ر ا		I		to bring into existence	1				ا	ر	ب	
296	بَرَّأَ	ب ر ا		II		to absolve, to clear	2				ا	ر	ب	
297	تُبْرِئُ	ب ر ا		IV		to heal, to cure	2				ا	ر	ب	
298	تَبَرَّأَ	ب ر ا		V		to disown	5				ا	ر	ب	
299	بُرُوج	ب ر ج	(فُعْل) فُعُول	N22.1z.pl	fu'ool pl of fu'l	buruwj	4	Noun			ج	ر	ب	
300	مُتَبَرِّجَٰت	ب ر ج	(مُتَفَعِّلَة) مُتَفَعِّلَات	vb.V.ap t.f	mutafa''il aat.pl	mutabar~ija`t	1	Noun			ج	ر	ب	
301	تَبَرُّج	ب ر ج	تَفَعُّل	vb.V.vn	tafa''ul	tabar~uj	1	Noun			ج	ر	ب	
302	تَبَرَّجْ	ب ر ج		V		to display	1				ج	ر	ب	
303	أَبْرَحَ	ب ر ح		I		to leave, to cease	3				ح	ر	ب	
304	بَرْد	ب ر د	فَعْل	N21.1	fa'l	barod	2	Noun			د	ر	ب	
305	بَرَد	ب ر د	فَعَل	N21.4z.cl.gn	fa'al	barad	1	Noun			د	ر	ب	
306	بَارِد	ب ر د	فَاعِل	vb.I.ap	faa'il	baArid	2	Noun			د	ر	ب	
307	بَرّ	ب ر ر	فَلّ	N21.2	fall	bar~	22	Noun (21), Adjective (1)			ر	ر	ب	
308	بِرّ	ب ر ر	فِلّ	N23.2	fill	bir~	8	Noun			ر	ر	ب	
309	تَبَرُّ	ب ر ر		I		to be good, to be kind	2				ر	ر	ب	
310	بَٰرِزُون	ب ر ز	(فَاعِل) فَاعِلُون	vb.I.ap	faa'il oon.pl	ba`rizuwn	1	Noun			ز	ر	ب	
311	بَارِزَة	ب ر ز	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	baArizap	1	Noun			ز	ر	ب	
312	بَرَزَ	ب ر ز		I		to come forth, to go out	5				ز	ر	ب	
313	بُرِّزَتِ	ب ر ز		II		to make manifest	2				ز	ر	ب	
314	بَرْزَخ	ب ر ز خ	فَرْعَل	N28.1	far'al	barozax	3	Noun		خ	ز	ر	ب	
315	أَبْرَص	ب ر ص	أَفْعَل	N06.1 col/frm.qlt	af'al	>aboraS	2	Noun			ص	ر	ب	
316	أَبَارِيق	ب ر ق	 (أِفْعِيل) أفَاعِيل	N10.3z.pl	afaa'eel pl of if'eel	>abaAriyq	1	Noun			ق	ر	ب	
317	بَرْق	ب ر ق	فَعْل	N21.1	fa'l	baroq	5	Noun			ق	ر	ب	
318	إِسْتَبْرَق	ب ر ق	إِسْتَفْعَل	vb.X.N	istaf'al	<isotaboraq	4	Noun			ق	ر	ب	
319	بَرِقَ	ب ر ق		I		to be dazzled, to be frightened	1				ق	ر	ب	
320	بَرَكَٰت	ب ر ك	(فَعَلَة) فَعَلَات	N21.4t	fa'al aat.pl	baraka`t	3	Noun			ك	ر	ب	
321	مُبَارَك	ب ر ك	مُفَاعَل	vb.III.pp	mufaa'al	mubaArak	8	Noun (6), Adjective (2)			ك	ر	ب	
322	مُّبَٰرَكَة	ب ر ك	مُفَاعَلَة	vb.III.pp t	mufaa'al at	m~uba`rakap	4	Noun (3), Adjective (1)			ك	ر	ب	
323	بَٰرَكَ	ب ر ك		III		to bless	8				ك	ر	ب	
324	تَبَارَكَ	ب ر ك		VI		to be blessed	9				ك	ر	ب	
325	مُبْرِمُون	ب ر م	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	muborimuwn	1	Noun			م	ر	ب	
326	أَبْرَمُ	ب ر م		IV		to determine, to conclude	1				م	ر	ب	
327	بُرْهَٰن	ب ر ه	فُعْلَان	N03.2	fu'laan	buroha`n	8	Noun			ه	ر	ب	
328	بَازِغ	ب ز غ	فَاعِل	vb.I.ap	faa'il	baAzig	1	Noun			غ	ز	ب	
329	بَازِغَة	ب ز غ	فَاعِلَة	vb.I.ap t	faa'il at	baAzigap	1	Noun			غ	ز	ب	
330	بَاسِرَة	ب س ر	فَاعِلَة	vb.I.ap t	faa'il at	baAsirap	1	Noun			ر	س	ب	
331	بَسَرَ	ب س ر		I		to scowl, to frown	1				ر	س	ب	
332	بَسّ	ب س س	فَلّ	N21.2	fall	bas~	1	Noun			س	س	ب	
333	بُسَّتِ	ب س س		I		to crumble, to crush	1				س	س	ب	
334	بِسَاط	ب س ط	فِعَال	N11.3	fi'aal	bisaAT	1	Noun			ط	س	ب	
335	بَسْط	ب س ط	فَعْل	N21.1	fa'l	basoT	1	Noun			ط	س	ب	
336	بَسْطَة	ب س ط	فَعْلَة	N21.1t	fa'l at	baSTap	2	Noun			ط	س	ب	
337	بَٰسِط	ب س ط	فَاعِل	vb.I.ap	faa'il	ba`siT	4	Noun			ط	س	ب	
338	مَبْسُوطَتَان	ب س ط	(مَفْعُولَة) مَفْعُولَتَان	vb.I.pp t	maf'ool at aan.dl	mabosuwTataAn	1	Noun			ط	س	ب	
339	بَسَطَ	ب س ط		I		to extend, to stretch	16				ط	س	ب	
340	بَاسِقَٰت	ب س ق	(فَاعِلَة) فَاعِلَات	vb.I.ap t	faa'il aat.pl	baAsiqa`t	1	Noun			ق	س	ب	
341	أُبْسِلُ	ب س ل		IV		to give up to destruction	2				ل	س	ب	
342	تَبَسَّمَ	ب س م		V		to smile	1				م	س	ب	
343	بُشْرَىٰ	ب ش ر	فُعْلَىٰ	N05.2	fu'laa	bu$oraY`	15	Noun			ر	ش	ب	
344	بَشِير	ب ش ر	فَعِيل	N13.1	fa'eel	ba$iyr	9	Noun (7), Adjective (2)			ر	ش	ب	
345	بَشَر	ب ش ر	فَعَل	N21.4	fa'al	ba$ar	37	Noun			ر	ش	ب	
346	بُشْر	ب ش ر	فُعْل	N22.1	fu'l	bu$or	3	Noun			ر	ش	ب	
347	مُبَشِّر	ب ش ر	مُفَعِّل	vb.II.ap	mufa''il	muba$~ir	9	Noun			ر	ش	ب	
348	مُبَشِّرَٰت	ب ش ر	(مُفَعِّلَة) مُفَعِّلَات 	vb.II.ap t	mufa''il aat.pl	muba$~ira`t	1	Noun			ر	ش	ب	
349	مُّسْتَبْشِرَة	ب ش ر	مُسْتَفْعِلَة	vb.X.ap t	mustaf'il at	m~usotabo$irap	1	Noun			ر	ش	ب	
350	بُشِّرَ	ب ش ر		II		to give glad tidings	38				ر	ش	ب	
351	بَٰشِرُ	ب ش ر		III		to have relations	2				ر	ش	ب	
352	أَبْشِرُ	ب ش ر		IV		to receive glad tidings	1				ر	ش	ب	
353	يَسْتَبْشِرُ	ب ش ر		X		to rejoice	7				ر	ش	ب	
354	بَصِير	ب ص ر	فَعِيل	N13.1	fa'eel	baSiyr	51	Noun (31), Adjective (20)			ر	ص	ب	
355	بَصِيرَة	ب ص ر	فَعِيلَة	N13.1t	fa'eel at	baSiyrap	7	Noun			ر	ص	ب	
356	بَصَر	ب ص ر	فَعَل	N21.4	fa'al	baSar	48	Noun			ر	ص	ب	
357	تَبْصِرَة	ب ص ر	تَفْعِلَة	vb.II.vn t	taf'il at	taboSirap	1	Noun			ر	ص	ب	
358	مُبْصِر	ب ص ر	مُفْعِل	vb.IV.ap	muf'il	muboSir	4	Noun			ر	ص	ب	
359	مُبْصِرَة	ب ص ر	مُفْعِلَة	vb.IV.ptrn.ap.N.t	muf'il at	muboSirap	3	Noun			ر	ص	ب	
360	مُسْتَبْصِرِين	ب ص ر	(مُسْتَفْعِل) مُسْتَفْعِلِين	vb.X.ap	mustaf'il een.pl	musotaboSiriyn	1	Noun			ر	ص	ب	
361	بَصُرَتْ	ب ص ر		I		to perceive, to watch	3				ر	ص	ب	
362	يُبَصَّرُ	ب ص ر		II		to be made to see	1				ر	ص	ب	
363	أَبْصَرَ	ب ص ر		IV & vb.wndr	Few of these are verbs of wonder, with the addition of bihii.The patterns for verbs of wonder are "maa af'alahu" and "af'il bihii". In 18:26 absir bihi is written 	to see	29				ر	ص	ب	
364	بَصَل	ب ص ل	فَعَل	N21.4z.cl	fa'al	baSal	1	Noun			ل	ص	ب	
365	بِضَٰعَة	ب ض ع	فِعَالَة	N11.3t	fi'aal at	biDa`Eap	5	Noun			ع	ض	ب	
366	بِضْع	ب ض ع	فِعْل	N23.1	fi'l	biDoE	2	Noun			ع	ض	ب	
367	يُبَطِّئَ	ب ط ا		II		to lag behind	1				ا	ط	ب	
368	بَطَر	ب ط ر	فَعَل	N21.4	fa'al	baTar	1	Noun			ر	ط	ب	
369	بَطِرَتْ	ب ط ر		I		to take lightly	1				ر	ط	ب	
370	بَطْش	ب ط ش	فَعْل	N21.1	fa'l	baTo$	3	Noun			ش	ط	ب	
371	بَطْشَة	ب ط ش	فَعْلَة	N21.1t	fa'l at	baTo$ap	2	Noun			ش	ط	ب	
372	بَطَشْ	ب ط ش		I		to seize	5				ش	ط	ب	
373	بَٰطِل	ب ط ل	فَاعِل	vb.I.ptrn.ap.N	faa'il	ba`Til	26	Noun			ل	ط	ب	
374	مُبْطِلُون	ب ط ل	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	muboTiluwn	5	Noun			ل	ط	ب	
375	بَطَلَ	ب ط ل		I		to become futile	1				ل	ط	ب	
376	يُبْطِلَ	ب ط ل		IV		to make vain, to nullify	4				ل	ط	ب	
377	بِطَانَة	ب ط ن	فِعَالَة	N11.3t	fi'aal at (its plural is bataa.in on the pattern fa'aa.il)	biTaAnap	2	Noun			ن	ط	ب	
378	بَطْن	ب ط ن	فَعْل	N21.1	fa'l	baTon	17	Noun			ن	ط	ب	
379	بَاطِن	ب ط ن	فَاعِل	vb.I.ptrn.ap.N	faa'il	baATin	3	Noun			ن	ط	ب	
380	بَاطِنَة	ب ط ن	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	baATinap	1	Noun			ن	ط	ب	
381	بَطَنَ	ب ط ن		I		to be concealed	2				ن	ط	ب	
382	بَعْث	ب ع ث	فَعْل	N21.1	fa'l	baEov	4	Noun			ث	ع	ب	
383	مَّبْعُوثُون	ب ع ث	(مَفْعُول) مَفْعُولُون	vb.I.pp	maf'ool oon.pl	m~aboEuwvuwn	9	Noun			ث	ع	ب	
384	ٱنبِعَاث	ب ع ث	ٱنفِعَال	vb.VII.vn	infi'aal	{nbiEaAv	1	Noun			ث	ع	ب	
385	بَعَثَ	ب ع ث		I		to raise, to resurrect, to send	52				ث	ع	ب	
386	ٱنۢبَعَثَ	ب ع ث		VII		to send forth	1				ث	ع	ب	
387	بُعْثِرَ	ب ع ث ر		Q.I		to overturn, to scatter	2			ر	ث	ع	ب	
388	بَعِيد	ب ع د	فَعِيل	N13.1	fa'eel	baEiyd	25	Adjective (20), Noun (5)			د	ع	ب	
389	بَعْد	ب ع د	فَعْل	N21.1	fa'l	baEod	199	Noun (133), Time adverb (66)			د	ع	ب	
390	بُعْد	ب ع د	فُعْل	N22.1	fu'l	buEod	7	Noun			د	ع	ب	
391	مُبْعَدُون	ب ع د	(مُفْعَل) مُفْعَلُون	vb.IV.pp	muf'al oon.pl	muboEaduwn	1	Noun			د	ع	ب	
392	بَعُدَتْ	ب ع د		I		to become distant, to take away	2				د	ع	ب	
393	بَٰعِدْ	ب ع د		III		to lengthen	1				د	ع	ب	
394	بَعِير	ب ع ر	فَعِيل	N13.1	fa'eel	baEiyr	2	Noun			ر	ع	ب	
395	بَعُوضَة	ب ع ض	فَعُولَة	N12.1t	fa'ool at	baEuwDap	1	Noun			ض	ع	ب	
396	بَعْض	ب ع ض	فَعْل	N21.1	fa'l	baEoD	157	Noun			ض	ع	ب	
397	بَعْل	ب ع ل	فَعْل	N21.1	fa'l	baEol	6	Noun			ل	ع	ب	
398	بَعْل	ب ع ل	فَعْل	N21.1 proper name	fa'l	baEol2	1	Proper noun			ل	ع	ب	
399	بَغْتَة	ب غ ت	فَعْلَة	N21.1t	fa'l at	bagotap	13	Noun			ت	غ	ب	
400	بَغْضَآء	ب غ ض	فَعْلَآء	N04.1	fa'laaa.	bagoDaA^'	5	Noun			ض	غ	ب	
401	بِغَال	ب غ ل	(فَعْل)فِعَال 	N21.1z.pl	fi'aal pl of fa'l	bigaAl	1	Noun			ل	غ	ب	
402	بِغَآء	ب غ ي	فِعَال	N11.3	fi'aal	bigaA^'	1	Noun			ي	غ	ب	
403	بَغِيّ	ب غ ي	فَعِيل	N13.1	fa'eel	bagiy~	2	Noun			ي	غ	ب	
404	بَغْي	ب غ ي	فَعْل	N21.1	fa'l	bagoy	11	Noun			ي	غ	ب	
405	بَاغ	ب غ ي	فَاعِل	vb.I.ap	faa'il	baAg	3	Noun			ي	غ	ب	
406	ٱبْتِغَآء	ب غ ي	اِفْتِعَال	vb.VIII.vn	ifti'aal	{botigaA^'	14	Noun			ي	غ	ب	
407	بَغَىٰ	ب غ ي		I		to seek, to oppress	25				ي	غ	ب	
408	يَنۢبَغِى	ب غ ي		VII		to be appropiate	6				ي	غ	ب	
409	ٱبْتَغَىٰ	ب غ ي		VIII		to seek	34				ي	غ	ب	
410	بَقَرَة	ب ق ر	فَعَلَة	N21.4t	fa'al at	baqarap	4	Noun			ر	ق	ب	
411	بَقَرَٰت	ب ق ر	(فَعَلَة) فَعَلَات	N21.4t	fa'al aat.pl	baqara`t	2	Noun			ر	ق	ب	
412	بَقَر	ب ق ر	فَعَل	N21.4z.cl	fa'al	baqar	3	Noun			ر	ق	ب	
413	بُقْعَة	ب ق ع	فُعْلَة	N22.1t	fu'l at	buqoEap	1	Noun			ع	ق	ب	
414	بَقْل	ب ق ل	فَعْل	N21.1z.cl	fa'l	baqol	1	Noun			ل	ق	ب	
415	أَبْقَىٰٓ	ب ق ي	أَفْعَل	N06.1	af'al	>aboqaY`^	7	Noun			ي	ق	ب	
416	بَقِيَّت	ب ق ي	فَعِيلَة	N13.1t	fa'eel at	baqiy~at	3	Noun			ي	ق	ب	
417	بَاقِين	ب ق ي	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	baAqiyn	2	Noun			ي	ق	ب	
418	بَاق	ب ق ي	فَاعِل	vb.I.ap	faa'il	baAq	1	Noun			ي	ق	ب	
419	بَٰقِيَٰت	ب ق ي	(فَاعِلَة) فَاعِلَات	vb.I.ap t	faa'il aat.pl	ba`qiya`t	2	Noun			ي	ق	ب	
420	بَاقِيَة	ب ق ي	فَاعِلَة	vb.I.ap t	faa'il at	baAqiyap	2	Noun			ي	ق	ب	
421	بَقِىَ	ب ق ي		I		to remain	3				ي	ق	ب	
422	تُبْقِى	ب ق ي		IV		to spare, to remain	1				ي	ق	ب	
423	بُكْرَة	ب ك ر	فُعْلَة	N22.1t	fu'l at	bukorap	7	Time adverb (6), Noun (1)			ر	ك	ب	
424	بِكْر	ب ك ر	فِعْل	N23.1	fi'l	bikor	3	Adjective (2), Noun (1)			ر	ك	ب	
425	إِبْكَٰر	ب ك ر	أِفْعَال	vb.IV.vn	if'aal	<iboka`r	2	Noun			ر	ك	ب	
426	بَكَّة	ب ك ك	فَلَّة	N21.2t proper name	fall at	bak~ap	1	Proper noun			ك	ك	ب	
427	أَبْكَم	ب ك م	أَفْعَل	N06.1 col/frm.qlt	af'al (its f is on pattern fa'laaa.)	>abokam	6	Noun			م	ك	ب	
428	بُكِيّ	ب ك ي	 (فَاعِل) فُعُول	vb.I.ap z.pl	fu'ool pl of faa'il (bukiyy written instead of bukooy/ bukoow/ bukuww  due to ya, See Lane/Wright for details) 	bukiy~	1	Noun			ي	ك	ب	
429	بَكَتْ	ب ك ي		I		to weep	5				ي	ك	ب	
430	أَبْكَىٰ	ب ك ي		IV		to make weep	1				ي	ك	ب	
431	بَلْدَة	ب ل د	فَعْلَة	N21.1t	fa'l at	balodap	5	Noun			د	ل	ب	
432	بَلَد	ب ل د	فَعَل	N21.4	fa'al	balad	14	Noun			د	ل	ب	
433	إِبْلِيس	ب ل س	 أِفْعِيل	N10.3 proper name	if'eel	<iboliys	11	Proper noun			س	ل	ب	
434	مُبْلِسُون	ب ل س	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	mubolisuwn	4	Noun			س	ل	ب	
435	يُبْلِسُ	ب ل س		IV		to despair	1				س	ل	ب	
436	ٱبْلَعِ	ب ل ع		I		to swallow	1				ع	ل	ب	
437	بَلَٰغ	ب ل غ	فَعَال	N11.1	fa'aal	bala`g	15	Noun			غ	ل	ب	
438	بَلِيغ	ب ل غ	فَعِيل	N13.1	fa'eel	baliyg	1	Adjective			غ	ل	ب	
439	مَبْلَغ	ب ل غ	مَفْعَل	N19.1	maf'al	mabolag	1	Noun			غ	ل	ب	
440	بَٰلِغ	ب ل غ	فَاعِل	vb.I.ap	faa'il	ba`lig	6	Noun			غ	ل	ب	
441	بَٰلِغَة	ب ل غ	فَاعِلَة	vb.I.ap t	faa'il at	ba`ligap	3	Adjective (2), Noun (1)			غ	ل	ب	
442	بَلَغَ	ب ل غ		I		to reach	40				غ	ل	ب	
443	بَلَّغْ	ب ل غ		II		to convey	6				غ	ل	ب	
444	أَبْلَغُ	ب ل غ		IV		to convey	5				غ	ل	ب	
445	بَلَآء	ب ل و	فَعَال	N11.1	fa'aal (read balaaa. Instead of balaa. Due to madda addition due to conversion of waw into hamza. Similar is the case for remaining similar madda hamza  endings in this pattern)	balaA^'	6	Noun			و	ل	ب	
446	مُبْتَلِي	ب ل و	مُفْتَعِل	vb.VIII.ap	mufta'il	mubotaliy	2	Noun			و	ل	ب	
447	بَلَوْ	ب ل و		I		to test	20				و	ل	ب	
448	يُبْلِىَ	ب ل و		IV and I	1st is I, and 2nd is IV	to test	2				و	ل	ب	
449	ٱبْتَلَىٰٓ	ب ل و		VIII		to test, to try	8				و	ل	ب	
450	بَنَان	ب ن ن	فَعَال	N11.1z.cl.gn	fa'aal	banaAn	2	Noun			ن	ن	ب	
451	بَنَّآء	ب ن ي	فَعَّال	N01.1	fa''aal	ban~aA^'	1	Noun			ي	ن	ب	
452	بُنْيَٰن	ب ن ي	فُعْلَان	N03.2	fu'laan	bunoya`n	7	Noun			ي	ن	ب	
453	بِنَآء	ب ن ي	فِعَال	N11.3	fi'aal	binaA^'	2	Noun			ي	ن	ب	
454	بُنَىّ	ب ن ي	فُعَيْل	N13.3 dimin	fu'ael (Lane only mentions fu'ael. Arabic English Dictionary of Qur'anic usage& Vocabulary of the Holy Qur'an say that ya (my) is also attached to the word i.e. fu'ael+ya, this means these 2 assume 1 ya of word is dropped)	bunaY~	80	Noun			ي	ن	ب	
455	بَنَات	ب ن ي	(فِعْلَة) فَعَلَات	N23.1z.pl t.f	fa'al aat pl of fi'l at	banaAt	17	Noun			ي	ن	ب	
456	ٱبْن	ب ن ي	ٱفْع	N26.4	if' (waw of root dropped)	{bon	63	Noun			ي	ن	ب	
457	ٱبْنَت	ب ن ي	ٱفْعَت	N26.4t.f	if'at (waw of root dropped)	{bonat	2	Noun			ي	ن	ب	
458	مَّبْنِيَّة	ب ن ي	مَفْعِيلَة	vb.I.pp t	maf'eel at	m~aboniy~ap	1	Noun			ي	ن	ب	
459	بَنَىٰ	ب ن ي		I		to construct, to build	11				ي	ن	ب	
460	بُهْتَٰن	ب ه ت	فُعْلَان	N03.2	fu'laan	buhota`n	6	Noun			ت	ه	ب	
461	بُهِتَ	ب ه ت		I		to be bewildered, to be dumbfounded	2				ت	ه	ب	
462	بَهِيج	ب ه ج	فَعِيل	N13.1	fa'eel	bahiyj	2	Adjective			ج	ه	ب	
463	بَهْجَة	ب ه ج	فَعْلَة	N21.1t	fa'l at	bahojap	1	Noun			ج	ه	ب	
464	نَبْتَهِلْ	ب ه ل		VIII		to pray humbly	1				ل	ه	ب	
465	بَهِيمَة	ب ه م	فَعِيلَة	N13.1t	fa'eel at	bahiymap	3	Noun			م	ه	ب	
